Title,Desc,Time_Prereq
BUSN 20701.  Managing in Organizations.  100 Units.,"
Successfully managing other people - be they competitors or co-workers - requires an understanding of their thoughts, feelings, attitudes, motivations, and determinants of behavior. Developing an accurate understanding of these factors, however, can be difficult to achieve because intuitions are often misguided and unstructured experience can be a poor teacher. This course is intended to address this development by providing the scientific knowledge of human thought and behavior that is critical for successfully managing others, and also for successfully managing ourselves.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20701 if BUSN 38001 Managing in Organizations taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.
"
BUSN 20702.  Managerial Decision Making.  100 Units.,"
This course is designed to make you a better decision maker. Good decision makers know how to recognize decision situations, then how to represent the essential structure of the situations, and how to analyze them with the formal tools from decision theory. But, perhaps more important, they need to be able to think effectively about the inputs into a decision analysis, whether to trust the analysis, and how to use the outputs to guide actions by themselves and their firms. And, maybe most important of all, they need to know how to make effective, unaided intuitive decisions, and to recognize the limits on their intuitive skills. This course will move back and forth between formal, optimal models and behavioral, descriptive models to help you understand and improve your native decision making abilities.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20702 if BUSN 38002 Managerial Decision Making taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.
"
BUSN 20710.  Behavioral Economics.  100 Units.,"
Behavioral economics applies psychological insights to economic markets and decision making. In this class, we will discuss the recent theoretical and empirical advances that have been made in this increasingly important field of economics. Being thoughtful about the role of psychology can lead to a greater understanding of how the economy works.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20710 if BUSN 38120 The Study of Behavioral Economics taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.
"
BUSN 20711.  Choosing Leadership.  100 Units.,"
Get a head start on your personal leadership development journey by asking critical questions that most others wait to ask such as: What makes me a good leader? How can I improve my leadership skills? How can I add value by creating meaning? What is my definition of leadership? 
This course is about the practice of leadership. We take the approach that leadership development is an ongoing process of self-discovery. The content is based on insights from the core discipline of social psychology.  Students use the data of their own experience as input together with a series of written assignments and in-class activities, including discussions, films, simulations, and peer coaching. The course enables students to engage in reflection, explore values and assess how they want to skillfully apply these lessons to their own leadership practice.  No prerequisites.","
Terms Offered: TBD
"
BUSN 20940.  Business Ethics.  100 Units.,"
The business environment creates ethical choices that can be hard to think through clearly. It can also subject companies to negative publicity or political pressure, which affects both how they are regulated and how well they attract employees, customers and partners. So business leaders are often called upon to make credible and persuasive arguments defending their products, their firms, their industries, or the capitalist system in which they operate.
Doing this effectively - in a variety of settings - is an essential aspect of business leadership, given the extensive influence of government rules, pressure groups and the media on modern business. This is especially true now, when so many people are raising questions about the role of capitalism itself.
Students in this course will gain experience forming and articulating coherent arguments about the ethics and role of business, by relating their own views to important ideas about business and capitalism and then working to ground them in clear thinking and informed ethical reasoning. We will use this approach to consider a broad range of tradeoffs and controversies that business leaders often confront.","
Prerequisite(s): Cannot enroll in BUSN 20940 if BUSN 33471 taken previously:  strict
Note(s): Cannot enroll in BUSN 20940 if BUSN 33471 taken previously:  strict
"
BUSN 20600.  Marketing Management.  100 Units.,"
The objective  of the course is to provide an intro to marketing strategy. The course develops a common framework (3Cs/4Ps) to analyze real world problems presented in business cases and synthesize recommendations addressing strategic marketing issues. Numerous tools used to support the framework are also introduced. 
GOALS: 1. Introduce marketing strategy and elements of marketing analysis or business situation analysis: Customer analysis, Company analysis and Competitor analysis (3Cs). 2. Develop familiarity with tactical use of elements of the marketing mix - product policy, pricing, promotion and placement/distribution (4 Ps)-in a manner consistent with marketing analysis and strategy. 3. Integrate elements of the framework prescriptively into real world business situations. 4. Provide exposure to business case analysis and critical thinking common in case-based business classes. 
FORMAT: Approximately 1/2 of each class is discussion of business cases. Remainder of class is dedicated to the discussion of several business examples which will highlight and practically demonstrate the theories, concepts, analytical techniques and empirical findings useful in marketing management in slide decks on Canvas. Study groups of 4-5 students will work on exercises and brief in-class presentations using tools from lectures. Students will also write-up (typically 1-2 pages) several cases individually using a format provided in class. Content includes some light quantitative work.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. All first year college students are restricted from enrolling into this course.
"
BUSN 20610.  Pricing Strategy.  100 Units.,"
This course blends marketing analytic frameworks, marketing strategy & microeconomic theory, and data to formulate actionable pricing strategies. Students will learn how to coordinate pricing decisions with the rest of the marketing value proposition. Numerous pricing structures are developed in the course, along with their microeconomic foundations. Students will learn the underlying theory for each pricing structure, along with the practical considerations for implementation","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20610 if BUSN 37202 Pricing Strategies taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.
"
BUSN 20620.  Data Driven Marketing.  100 Units.,"
Marketing decisions in the era of big data are increasingly based on a statistical analysis of large amounts of transaction and customer data that provides the basis for profitability and ROI predictions.  The goal of this class is to introduce modern data-driven marketing techniques and train the students as data scientists who can analyze data and make marketing decisions using some of the state-of-the-art tools that are employed in the industry.  
We will cover a wide range of topics, including demand modeling, the analysis of household-level data, customer relationship management (CRM) and database marketing, and elements of digital marketing.  The focus throughout is on predicting the impact of marketing decisions, including pricing, advertising, and customer targeting, on customer profitability and the return on investment (ROI) from a customer interaction.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): BUSN 20600 or BUSN 37000 required prereq.  Previous stats background helpful.  This course is not open to MBA students. Cannot enroll in BUSN 20620 if BUSN 37105 Data Science for Marketing Decision Making taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.
"
BUSN 20500.  Operations Management.  100 Units.,"
This core course focuses on understanding levers for structuring, managing, and improving a firm's recurring business processes to achieve competitive advantage in customer responsiveness, price, quality, and variety of products and services. These levers are broadly applicable to service firms, for example banks, hospitals, and airlines, as well as to traditional product-based firms. Processes within firms, as well as between firms, i.e. supply chains, are explored. The fundamental principles underlying state- of-the-art practices, such as Lean, Mass Customization, and Time-Based Competition, are explored so that students learn to critically evaluate these and other operational improvement programs.
Students learn the basics of how to manage the operations of a firm, and how operations issues affect and are affected by the many business decisions they will be called upon to make or recommend in their careers. As such, this course is essential to students aspiring to become consultants, entrepreneurs, or general managers. A working knowledge of operations is also indispensable to those interested in marketing, finance, and accounting, where the interface between these functions and operations is critical. Finally, an understanding of how firms become market leaders through operations is important in investment careers.
This course is not open to MBA students.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20500 if BUSN 40000 Operations Management: Business Process Fundamentals taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.
"
BUSN 20510.  Managerial Decision Modeling.  100 Units.,"
This course is designed to sharpen students' analytical skills and elucidate quantitative modeling as an aid in managerial decision-making. The course teaches various ways to frame, set up and solve managerial questions about resource allocation, revenue management, finance, marketing, operations and risk analysis using Microsoft Excel, as well as various tools and add-ins. The course will introduce various modeling frameworks and analytical tools in optimization and simulation. Students in this course will become proficient in formulating relevant managerial questions in the language of optimization and simulation modeling, as well as in solving the resulting problems using the frameworks covered in the course and interpreting the results. The course involves hands-on active learning through in-class cases and examples, homework and term project which applies the tools and modeling frameworks learned in the course to a business problem.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20510 if BUSN 36106 Managerial Decision Modeling taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course. 
"
BUSN 20520.  Supply Chain Management.  100 Units.,"
The supply chain of a firm is critical to its performance. Supply chains are networks of organizations that supply and transform materials and distribute final products to consumers. If designed and managed properly, these networks can be a crucial source of competitive advantage for both manufacturing and service enterprises.
Students will learn how to examine and improve the flow of materials and information through this network of suppliers, manufacturers, distributors, and retailers in order to match supply with demand (i.e., to get the right products to the right customers in the right amount and at the right time). Key topics include inter- and intra-firm coordination, incentive design, the impact of uncertainty, and the role of information technology. Special emphasis is given to understanding how the business context shapes managerial decisions regarding the strategic design and management of the supply chain.","
Terms Offered: Spring
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20520 if BUSN 40101 Supply Chain Strategy and Practice taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course. 
"
BUSN 20800.  Big Data.  100 Units.,"
Big Data is a course about data mining: the analysis, exploration, and simplification of large high-dimensional datasets. Students will learn how to model and interpret complicated `Big Data' and become adept at building powerful models for prediction and classification.
Techniques covered include an advanced overview of linear and logistic regression, model choice and false discovery rates, multinomial and binary regression, classification, decision trees, factor models, clustering, the bootstrap and cross-validation. We learn both basic underlying concepts and practical computational skills, including techniques for analysis of distributed data.
Heavy emphasis is placed on analysis of actual datasets, and on development of application specific methodology. Among other examples, we will consider consumer database mining, internet and social media tracking, network analysis, and text mining.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20800 if BUSN 41201 Big Data taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.
"
BUSN 20810.  Machine Learning.  100 Units.,"
Students will learn about state-of-the-art machine learning techniques and how to apply them in business related problems. Techniques will be introduced in the context of business applications and the emphasis will be put on how machine learning can be used to create value and provide insights from data.
First, and the biggest, part of the class will focus on predictive analytics. Students will learn about decision trees, nearest neighbor classifiers, boosting, random forests, deep neural networks, naive Bayes and support vector machines. Among other examples, we will apply these techniques to detecting spam in email, click-through rate prediction in online advertisement, image classification, face recognition, sentiment analysis and churn prediction. Students will learn what techniques to apply and why.
In the second part of the class, students will learn about unsupervised techniques for extracting actionable patterns from data. Examples include clustering, collaborative filtering, probabilistic graphical modelling and dimension reduction with applications to customer segmentation, recommender systems, graph and time series mining, and anomaly detection.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20810 if BUSN 41204 Machine Learning taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.  
"
BUSN 20820.  Financial Econometrics.  100 Units.,"
This course covers a variety of topics in financial econometrics. The topics covered are of real- world, practical interest and are closely linked to material covered in other advance finance courses. Topics covered include ARMA models, volatility models (GARCH), factor models, models for time varying correlations, analysis of panel data, cointegration models for long-run co-movement between prices and models for transactions data and the analysis of transactions cost.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20820 if BUSN 41203 Financial Econometrics taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course. 
"
BUSN 20230.  International Financial Policy.  100 Units.,"
This course will help students develop an understanding of issues in international macroeconomics that are important for investors and managers operating in the global marketplace. It will cover theories of the determination of exchange rates and interest rates, the management of foreign exchange risk, international capital flows, debt and currency crises, international monetary and exchange rate regimes, the roles of the international financial institutions in developing countries, and other characteristics of international financial markets.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20230 if BUSN 33502 International Financial Policy taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.   
"
BUSN 20231.  Economics in a Globalized World.  100 Units.,"
International trade has always been economically controversial and politically contentious. This course demystifies some of the complex issues that surround discussions of globalization. It asks such questions as: Why do countries engage in trade? Are countries in competition with one another, making one a winner and another a loser, or is trade mutually beneficial? Who gains and who loses from international trade within a country? Should high-wage countries be worried about competition from low-wage countries? Is international trade the main cause of increasing U.S. wage inequality? How do global supply chains affect firms and workers? How is the burden of import tariffs divided in the economy? Do international trade agreements create jobs or destroy jobs? What is the impact of a trade war on the global economy? This course examines these questions and much more. 
There are no strict prerequisites, but I assume familiarity with concepts of microeconomics.","
Prerequisite(s): There are no strict prerequisites, but I assume familiarity with concepts of microeconomics.
"
BUSN 20900.  Competitive Strategy.  100 Units.,"
The course applies microeconomics (including elements of price theory, game theory, and industrial organization) to analyze decisions firms face in business environments. There will be specific focus on strategic decisions and the factors that influence firms' competitive advantages. Class time will be devoted to lectures and case discussions. Topics covered include sources of competitive advantage, scope of the firm, efficient performance, pricing, entry and exit, vertical structure, and network externalities.","
Instructor(s): Faculty TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20900 if BUSN 42001 Competitive Strategy taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.
"
